tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,check,averageRating,numVotes
tt4196832,movie,Is That a Gun in Your Pocket?,Is That a Gun in Your Pocket?,0,2016,\N,95,Comedy,Is That a Gun in Your Pocket?,1,5.6,1791
tt4196848,movie,Mr. Church,Mr. Church,0,2016,\N,104,"Comedy,Drama",Mr. Church,1,7.6,23650
tt4209174,movie,Chimera Strain,Chimera Strain,0,2018,\N,80,"Drama,Sci-Fi,Thriller",Chimera Strain,1,5.4,1396
tt4209788,movie,Molly's Game,Molly's Game,0,2017,\N,140,"Biography,Crime,Drama",Molly's Game,1,7.4,112102
tt4215810,movie,River,River,0,2015,\N,89,Thriller,River,1,6.0,1893
tt4218572,movie,Widows,Widows,0,2018,\N,129,"Crime,Drama,Thriller",Widows,1,6.9,72391
tt4218696,movie,The Wall,The Wall,0,2017,\N,88,"Action,Drama,Thriller",The Wall,1,6.2,21218
tt4225622,movie,The Babysitter,The Babysitter,0,2017,\N,85,"Comedy,Horror",The Babysitter,1,6.3,50682
tt4230700,movie,Complete Unknown,Complete Unknown,0,2016,\N,91,"Drama,Mystery",Complete Unknown,1,5.4,5347
tt4238858,movie,The Fits,The Fits,0,2015,\N,72,"Drama,Music",The Fits,1,6.7,4120
tt4241904,movie,The Way We Weren't,The Way We Weren't,0,2019,\N,93,Comedy,The Way We Weren't,1,7.3,1413
tt4244162,movie,Beta Test,Beta Test,0,2016,\N,88,"Action,Sci-Fi,Thriller",Beta Test,1,6.0,11364
tt4244998,movie,Alpha,Alpha,0,2018,\N,96,"Adventure,Drama,Family",Alpha,1,6.7,46373
tt4247682,movie,All Girls Weekend,All Girls Weekend,0,2016,\N,85,"Action,Adventure,Horror",All Girls Weekend,1,4.0,1495
tt4254584,movie,Kicks,Kicks,0,2016,\N,80,"Adventure,Drama",Kicks,1,6.4,3860
tt4255110,movie,Contracted: Phase II,Contracted: Phase II,0,2015,\N,78,"Drama,Horror,Thriller",Contracted: Phase II,1,5.1,4070
tt4257926,movie,Miracles from Heaven,Miracles from Heaven,0,2016,\N,109,"Biography,Drama,Family",Miracles from Heaven,1,7.1,18443
tt4258698,movie,Southside with You,Southside with You,0,2016,\N,84,"Biography,Drama,History",Southside with You,1,6.4,7447
tt4261326,movie,2307: Winter's Dream,2307: Winter's Dream,0,2016,\N,101,Sci-Fi,2307: Winter's Dream,1,3.8,1385
tt4262174,movie,First Girl I Loved,First Girl I Loved,0,2016,\N,90,"Drama,Romance",First Girl I Loved,1,6.1,2658
tt4263482,movie,The Witch,The VVitch: A New-England Folktale,0,2015,\N,92,"Drama,Horror,Mystery",The Witch,1,6.8,166406
tt4266638,movie,Krisha,Krisha,0,2015,\N,83,Drama,Krisha,1,7.2,6241
tt4267026,movie,Hell House LLC,Hell House LLC,0,2015,\N,93,"Horror,Mystery,Thriller",Hell House LLC,1,6.4,6663
tt4269118,movie,Seven in Heaven,Seven in Heaven,0,2018,\N,94,"Drama,Horror,Mystery",Seven in Heaven,1,5.3,1602
