Title_ID,Release_Year,Runtime(Minutes),Genre,Title,Rating,Number_of_Votes,Budget(LCY),USA_Gross($),Worldwide_Gross($),Released_Date,Released_Month,Rotten_Tomatoes,Metascore,Actors,Production
tt1025100,2019,117,"Action,Drama,Sci-Fi",Gemini Man,5.7,19269,$138000000,48.03,167.53,11 Oct 2019,10.0,25.0,38.0,"Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong",Paramount Pictures
tt1029360,2015,93,"Horror,Thriller",Poltergeist,4.9,52523,$35000000,47.43,95.44,22 May 2015,5.0,31.0,47.0,"Sam Rockwell, Rosemarie DeWitt, Saxon Sharbino, Kyle Catlett",20th Century Fox
tt10303892,2019,86,Western,The Outsider,5.7,1160,,,,14 Jun 2019,6.0,53.0,,"Jon Foo, Trace Adkins, Sean Patrick Flanery, Kaiwi Lyman",Cinedigm
tt1034415,2018,152,"Fantasy,Horror,Mystery",Suspiria,6.8,46361,$20000000,2.48,7.94,02 Nov 2018,11.0,65.0,64.0,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela",Amazon Studios
tt1051904,2015,103,"Adventure,Comedy,Family",Goosebumps,6.3,75044,$58000000,80.08,158.26,16 Oct 2015,10.0,78.0,60.0,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",Sony Pictures
tt10521814,2019,96,"Fantasy,Horror,Musical",K-12,6.6,1656,$5000000,0.3,0.36,05 Sep 2019,9.0,,,"Melanie Martinez, Emma Harvey, Megan Gage, Maggie Budzyna",
tt1072748,2018,99,"Biography,Drama,Fantasy",Winchester,5.4,25930,$3500000,25.09,44.02,02 Feb 2018,2.0,14.0,28.0,"Helen Mirren, Sarah Snook, Finn Scicluna-O'Prey, Jason Clarke",CBS Films
tt1082807,2016,89,"Horror,Thriller",The Belko Experiment,6.1,39749,$5000000,10.17,11.08,17 Mar 2017,3.0,52.0,44.0,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",BH Tilt
tt1083452,2015,106,"Biography,Comedy,Drama",Eddie the Eagle,7.4,78074,$23000000,15.79,46.15,26 Feb 2016,2.0,82.0,54.0,"Tom Costello, Jo Hartley, Keith Allen, Dickon Tolson",20th Century Fox
tt1109624,2014,95,"Adventure,Comedy,Family",Paddington,7.2,87722,$55000000,76.27,268.05,16 Jan 2015,1.0,97.0,77.0,"Tim Downie, Madeleine Worrall, Lottie Steer, Geoffrey Palmer",The Weinstein Company
tt1121096,2014,102,"Action,Adventure,Fantasy",Seventh Son,5.5,67610,$95000000,17.22,114.18,06 Feb 2015,2.0,11.0,30.0,"Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander",Universal
tt1124037,2016,139,"Action,Biography,Drama",Free State of Jones,6.9,46600,$50000000,20.81,25.04,24 Jun 2016,6.0,46.0,53.0,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell",STX Entertainment
tt1126590,2014,106,"Biography,Crime,Drama",Big Eyes,7.0,79546,$10000000,14.48,29.25,25 Dec 2014,12.0,72.0,62.0,"Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter",The Weinstein Company
tt1131724,2017,98,Thriller,2:22,5.8,17158,,0.0,3.95,30 Jun 2017,6.0,22.0,,"Michiel Huisman, Teresa Palmer, Sam Reid, John Waters",Magnolia Pictures
tt1131728,2017,106,"Comedy,Musical,Romance",Basmati Blues,3.5,1454,,,0.02,09 Feb 2018,2.0,11.0,30.0,"Brie Larson, Utkarsh Ambudkar, Scott Bakula, Saahil Sehgal",Shout! Factory
tt1137450,2018,107,"Action,Crime,Drama",Death Wish,6.4,54364,$30000000,34.02,49.56,02 Mar 2018,3.0,18.0,31.0,"Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Camila Morrone",MGM
tt1137470,2015,100,"Comedy,Romance",Accidental Love,4.1,7227,$26000000,,0.02,10 Feb 2015,2.0,9.0,20.0,"Jessica Biel, Raymond L. Brown Jr., Jenny Gulley, Beverly D'Angelo",Millennium Entertainment
tt1172049,2015,101,"Comedy,Drama",Demolition,7.0,80735,$10000000,1.98,4.37,08 Apr 2016,4.0,53.0,49.0,"Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis",Fox Searchlight
tt1178665,2015,104,"Adventure,Biography,Comedy",A Walk in the Woods,6.3,22537,$8000000,29.5,37.46,02 Sep 2015,9.0,47.0,51.0,"Robert Redford, Nick Nolte, Emma Thompson, Mary Steenburgen",Broad Green Pictures
tt1179933,2016,103,"Drama,Horror,Mystery",10 Cloverfield Lane,7.2,268344,$15000000,72.08,110.22,11 Mar 2016,3.0,90.0,76.0,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",Bad Robot Productions
tt1183374,2016,94,"Horror,Thriller",Pet,5.7,14434,,0.01,0.02,02 Dec 2016,12.0,,48.0,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy, Da'Vone McDonald",
tt1206885,2019,89,"Action,Adventure,Thriller",Rambo: Last Blood,6.7,23759,$50000000,44.74,86.96,20 Sep 2019,9.0,,26.0,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza",
tt1211837,2016,115,"Action,Adventure,Fantasy",Doctor Strange,7.5,540635,$165000000,232.64,677.72,04 Nov 2016,11.0,89.0,72.0,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",Walt Disney Pictures
tt1212428,2016,141,"Biography,Drama,History",The Lost City of Z,6.6,69412,$30000000,8.58,19.26,21 Apr 2017,4.0,86.0,78.0,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",Amazon Studios/Bleecker Street Media
tt1213641,2018,141,"Biography,Drama,History",First Man,7.3,138413,$59000000,44.94,105.7,12 Oct 2018,10.0,87.0,84.0,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler",Universal Pictures
tt1219827,2017,107,"Action,Drama,Sci-Fi",Ghost in the Shell,6.3,182758,$110000000,40.56,169.8,31 Mar 2017,3.0,43.0,52.0,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche",Paramount Pictures
tt1226766,2015,99,"Comedy,Drama,Family",The Great Gilly Hopkins,6.5,4019,$5000000,,0.1,07 Oct 2016,10.0,65.0,47.0,"Sophie Nélisse, Kathy Bates, Glenn Close, Octavia Spencer",Lionsgate Premiere
tt1226837,2018,120,"Biography,Drama",Beautiful Boy,7.3,36945,$25000000,7.65,16.54,25 Oct 2018,10.0,69.0,62.0,"Steve Carell, Maura Tierney, Jack Dylan Grazer, Oakley Bull",Amazon Studios
tt1230168,2017,119,"Biography,Drama",Same Kind of Different as Me,6.6,4914,$15000000,6.42,6.42,20 Oct 2017,10.0,33.0,47.0,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight",Paramount Pictures / Pure Flix
tt1230213,2015,93,"Horror,Thriller",Bound to Vengeance,5.6,5177,,,0.16,08 Oct 2015,10.0,,27.0,"Tina Ivlev, Richard Tyson, Bianca Malinowski, Kristoffer Kjornes",IFC Films
tt1241317,2017,101,"Adventure,Crime,Drama",Death Note,4.5,69168,,,,25 Aug 2017,8.0,39.0,43.0,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham",Vertigo Entertainment
tt1243974,2015,105,"Comedy,Drama,Romance",Aloha,5.4,56844,$37000000,21.07,26.25,29 May 2015,5.0,20.0,40.0,"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray",Sony Pictures
tt1255919,2018,90,"Comedy,Crime,Mystery",Holmes & Watson,3.8,23523,$42000000,30.57,40.47,25 Dec 2018,12.0,11.0,24.0,"Will Ferrell, John C. Reilly, Rebecca Hall, Rob Brydon",Columbia Pictures
tt1259528,2018,140,"Action,Crime,Drama",Den of Thieves,7.0,75250,$30000000,44.95,80.51,19 Jan 2018,1.0,41.0,49.0,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",STX Entertainment
tt1270797,2018,112,"Action,Sci-Fi,Thriller",Venom,6.7,311602,$100000000,213.52,856.09,05 Oct 2018,10.0,,35.0,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",Vis
tt1273221,2018,118,"Crime,Mystery,Thriller",London Fields,4.3,3880,$8000000,0.25,0.49,26 Oct 2018,10.0,0.0,16.0,"Amber Heard, Cara Delevingne, Theo James, Jason Isaacs",20th Century Fox
tt1274586,2014,94,"Action,Drama,Thriller",Dying of the Light,4.4,9063,$5000000,,0.7,05 Dec 2014,12.0,8.0,31.0,"Nicolas Cage, Anton Yelchin, Alexander Karim, Irène Jacob",The Film Arcade
tt1285009,2018,85,Horror,The Strangers: Prey at Night,5.2,23493,$5000000,24.59,31.04,09 Mar 2018,3.0,39.0,48.0,"Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman",Aviron Pictures
tt1289401,2016,116,"Action,Comedy,Fantasy",Ghostbusters,5.2,191811,$144000000,128.35,229.15,15 Jul 2016,7.0,74.0,60.0,"Zach Woods, Kristen Wiig, Ed Begley Jr., Charles Dance",Sony Pictures
tt1289403,2018,124,"Drama,History,Romance",The Guernsey Literary and Potato Peel Pie Society,7.4,25429,,,23.15,10 Aug 2018,8.0,81.0,65.0,"Jessica Brown Findlay, Tom Courtenay, Michiel Huisman, Katherine Parkinson",Netflix
tt1290138,2016,88,"Crime,Drama,Romance",Frank & Lola,5.9,4932,,0.01,0.01,09 Dec 2016,12.0,69.0,56.0,"Imogen Poots, Michael Shannon, Justin Long, Rosanna Arquette",Parts and Labor
tt1291570,2015,101,"Crime,Drama,Mystery",Solace,6.4,50925,,,22.35,16 Dec 2016,12.0,25.0,36.0,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell",Lionsgate Premiere
tt1292566,2016,110,"Comedy,Drama,Romance",How to Be Single,6.1,76002,$38000000,46.84,112.34,12 Feb 2016,2.0,46.0,51.0,"Dakota Johnson, Rebel Wilson, Leslie Mann, Damon Wayans Jr.",Warner Bros. Pictures
tt1293847,2017,107,"Action,Adventure,Thriller",xXx: Return of Xander Cage,5.2,80047,$85000000,44.9,346.12,20 Jan 2017,1.0,45.0,42.0,"Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu",Paramount Pictures
tt1298644,2019,93,"Comedy,Crime",The Hustle,5.4,26518,$21000000,35.42,95.02,10 May 2019,5.0,14.0,35.0,"Timothy Simons, Rebel Wilson, Douggie McMeekin, Ashley McGuire",MGM
tt1302006,2019,209,"Biography,Crime,Drama",The Irishman,8.7,5842,$159000000,,,27 Nov 2019,11.0,99.0,94.0,"Robert De Niro, Jesse Plemons, Anna Paquin, Al Pacino",Netflix
tt1308728,2018,91,"Action,Comedy,Crime",The Happytime Murders,5.4,20454,$40000000,20.71,27.51,24 Aug 2018,8.0,24.0,27.0,"Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Leslie David Baker",STXfilms
tt1340138,2015,126,"Action,Adventure,Sci-Fi",Terminator Genisys,6.4,242355,$155000000,89.76,440.6,01 Jul 2015,7.0,27.0,38.0,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney",Paramount Pictures
tt1355631,2016,127,"Biography,Crime,Drama",The Infiltrator,7.0,63105,$28000000,15.44,21.01,13 Jul 2016,7.0,72.0,66.0,"Bryan Cranston, Leanne Best, Daniel Mays, Tom Vaughan-Lawlor",Broad Green Pictures
tt1355644,2016,116,"Drama,Romance,Sci-Fi",Passengers,7.0,320352,$110000000,100.01,303.14,21 Dec 2016,12.0,30.0,41.0,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne",Columbia Pictures
tt1355683,2015,123,"Biography,Crime,Drama",Black Mass,6.9,158686,$53000000,62.58,99.78,18 Sep 2015,9.0,73.0,68.0,"Johnny Depp, Joel Edgerton, Benedict Cumberbatch, Dakota Johnson",Warner Bros Pictures
tt1365050,2015,137,"Drama,War",Beasts of No Nation,7.8,66087,$6000000,0.09,0.09,16 Oct 2015,10.0,92.0,79.0,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote",Netflix
tt1365519,2018,119,"Action,Adventure,Fantasy",Tomb Raider,6.3,171647,$94000000,58.25,274.65,16 Mar 2018,3.0,52.0,48.0,"Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu",Warner Bros. Pictures
tt1366338,2016,98,"Adventure,Crime,Drama",Lowriders,5.7,2010,$5000000,6.3,6.31,12 May 2017,5.0,57.0,57.0,"Gabriel Chavarria, Demián Bichir, Theo Rossi, Tony Revolori",BH Tilt
tt1374989,2016,108,"Action,Comedy,Fantasy",Pride and Prejudice and Zombies,5.8,47602,$28000000,10.94,16.41,05 Feb 2016,2.0,45.0,45.0,"Lily James, Sam Riley, Bella Heathcote, Ellie Bamber",Sony Pictures
tt1386691,2017,83,"Crime,Drama,Mystery",Shimmer Lake,6.2,9199,,,,09 Jun 2017,6.0,60.0,,"Benjamin Walker, Rainn Wilson, Stephanie Sigman, John Michael Higgins",Netflix
tt1386697,2016,123,"Action,Adventure,Fantasy",Suicide Squad,6.0,553531,$175000000,325.1,746.85,05 Aug 2016,8.0,27.0,40.0,"Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie",Warner Bros. Pictures
tt1389072,2017,135,"Drama,Sci-Fi",Downsizing,5.7,82761,$68000000,24.45,55.0,22 Dec 2017,12.0,48.0,63.0,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig",Paramount Pictures
tt1389139,2016,107,"Crime,Drama,Horror",When the Bough Breaks,5.1,5048,$10000000,29.75,30.66,09 Sep 2016,9.0,13.0,28.0,"Morris Chestnut, Regina Hall, Romany Malco, Michael Kenneth Williams",Sony Pictures
tt1390411,2015,122,"Action,Adventure,Biography",In the Heart of the Sea,6.9,111392,$100000000,25.02,93.92,11 Dec 2015,12.0,43.0,47.0,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson",Warner Bros. Pictures
tt1392190,2015,120,"Action,Adventure,Sci-Fi",Mad Max: Fury Road,8.1,803949,$150000000,154.06,375.21,15 May 2015,5.0,97.0,90.0,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",Warner Bros.
tt1396484,2017,135,Horror,It,7.3,406934,$35000000,327.48,700.45,08 Sep 2017,9.0,86.0,69.0,"Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard",Warner Bros. Pictures
tt1398426,2015,147,"Biography,Drama,History",Straight Outta Compton,7.9,168465,$28000000,161.2,201.63,14 Aug 2015,8.0,88.0,72.0,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.",Universal Pictures
tt1411956,2016,94,Drama,Sold,6.8,1390,,0.06,0.06,01 Apr 2016,4.0,56.0,49.0,"Gillian Anderson, David Arquette, Priyanka Bose, Neerja Naik",Jaya International
tt1412528,2017,87,"Comedy,Drama,Romance",Table 19,5.8,23791,$5000000,3.61,5.04,03 Mar 2017,3.0,26.0,40.0,"Anna Kendrick, Rya Meyers, Charles Green, Lisa Kudrow",Fox Searchlight Pictures
tt1413492,2018,130,"Action,Drama,History",12 Strong,6.6,54029,$35000000,45.82,67.45,19 Jan 2018,1.0,51.0,54.0,"Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban",Warner Bros. Pictures
tt1431045,2016,108,"Action,Adventure,Comedy",Deadpool,8.0,844981,$58000000,363.07,782.61,12 Feb 2016,2.0,84.0,65.0,"Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",20th Century Fox
tt1458169,2017,95,"Crime,Drama,Thriller",Kidnap,5.9,30273,$21000000,30.97,34.81,04 Aug 2017,8.0,38.0,44.0,"Halle Berry, Sage Correa, Chris McGinn, Lew Temple",Aviron Pictures
tt1468846,2016,83,Comedy,Get a Job,5.3,19580,,,0.02,18 Jul 2016,7.0,,31.0,"Miles Teller, Anna Kendrick, Bryan Cranston, Nicholas Braun",
tt1469304,2017,116,"Action,Comedy,Crime",Baywatch,5.5,145183,$69000000,58.06,177.86,25 May 2017,5.0,18.0,37.0,"Dwayne Johnson, Zac Efron, Priyanka Chopra, Alexandra Daddario",Paramount Pictures
tt1472584,2016,92,"Action,Adventure,Family",Max Steel,4.6,17265,$10000000,3.82,6.27,14 Oct 2016,10.0,0.0,22.0,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia",Open Road Films
tt1473832,2016,123,"Comedy,Drama,Romance",Bridget Jones's Baby,6.5,62247,$35000000,24.25,211.95,16 Sep 2016,9.0,78.0,59.0,"Renée Zellweger, Gemma Jones, Jim Broadbent, Sally Phillips",Working Title
tt1476425,2016,90,"Drama,Mystery,Thriller",Turnabout,5.3,1844,,,,,,,,"George Katt, Waylon Payne, Peter Greene, Sayra Player",
tt1477834,2018,143,"Action,Adventure,Fantasy",Aquaman,7.0,310063,$160000000,335.06,1148.16,21 Dec 2018,12.0,65.0,55.0,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",Warner Bros. Pictures
tt1478839,2019,109,"Comedy,Drama,Romance",The Art of Racing in the Rain,7.5,7152,$20000000,26.4,33.77,09 Aug 2019,8.0,43.0,43.0,"Milo Ventimiglia, Amanda Seyfried, Kevin Costner, Kathy Baker",20th Century Fox
tt1480285,2016,98,"Horror,Mystery,Thriller",Abattoir,4.4,3483,$5000000,,0.66,09 Dec 2016,12.0,35.0,40.0,"Jessica Lowndes, Joe Anderson, Dayton Callie, Lin Shaye",Dark Web Productions
tt1485796,2017,105,"Biography,Drama,Musical",The Greatest Showman,7.6,208200,$84000000,174.34,434.99,20 Dec 2017,12.0,56.0,48.0,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",20th Century Fox
tt1488606,2019,125,"Action,Adventure,Crime",Triple Frontier,6.5,84167,,,,13 Mar 2019,3.0,72.0,61.0,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund",
tt1489887,2019,102,Comedy,Booksmart,7.3,44915,$6000000,22.68,24.62,24 May 2019,5.0,97.0,84.0,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",United Artists
